,Kommune,Resumé
10,Helsingør,"- Arbejdstagerrettigheder
- Biodiversitet og miljøpåvirkninger
- Brud på grundlæggende arbejdstagerrettigheder i strid med FN Global Compact
- Ejendomsopkøb
- Flyselskaber
- Fossile brændstoffer
- Spil (gambling)
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettigheder og relaterede problemstillinger
- ILO-brud
- Overtrædelse af internationale normer og konventioner
- Konflikter med UN Global Compact
- Kontroversielle våben
- Krydstogtskibe
- Manglende klimaambitioner
- Usunde fødevarer
- Udtømning af termisk kul
- Normbrud og dårlig overholdelse af normer"
11,Ringkøbing-Skjern,"- Arbejdstagerrettigheder
- Brud på menneskerettigheder (FN Global Compact Princip 1 og 2)
- Kontroversielle våben (herunder hvidt fosfor)
- Dårlig regeringsførelse
- EU-sanktioner
- Eksklusion af lande under internationale sanktioner eller vurderet ikke-investeringsegnede
- Emerging Markets statsobligationer der ikke lever op til ESG-kriterier
- Fossile brændsler (oliesk Sands, thermal coal extraction)
- Udfordringer i forbindelse med landepolitik
- Menneskerettighedskrænkelser
- Norms violation relateret til miljøforurening og sikkerhedsstandarder
- Usunde fødevarer
- Utilstrækkelig tilgang til forvaltning og regeringsførelse"
12,Mariagerfjord,"- Alkohol
- Arbejdstagerrettigheder
- Atomvåben
- Biodiversitet
- Brud på grundlæggende arbejdstagerrettigheder
- Kontroversielle våben (inkl. hvidt fosfor)
- Ejendomsopkøb
- Fossile brændstoffer (kul og transition)
- Spil
- Miljømæssige skadelige praksisser 
- Menneskerettigheder
- ILO-brud
- Internationale normer og sanktioner 
- Manglende klimaambitioner
- Miljø
- Usunde fødevarer
- Våben og militært udstyr"
13,Frederiksberg,"- Arbejdstagerrettigheder og brud herpå, inkl. ILO-konventionen
- Biodiversitetspåvirkninger
- Kontroversielle våben
- Flyselskaber
- Fossile brændstoffer og deres ekspansion
- Spil og gambling
- Skadelige miljøpraksisser
- Menneskerettigheder og krænkelse heraf
- Manglende klimaambitioner
- Normovertrædelser
- Negative påvirkninger relateret til menneskerettigheder
- Involvering i tobaksprodukter
- Tjenester og forsyninger, der understøtter bosættelser
- Sikkerhedstjenester til virksomheder i bosættelser
- Udtvinding af termisk kul
- Eksponering for kul (over 5%)
- Usunde fødevarer"
14,Gladsaxe,- Usunde fødevarer
15,Favrskov,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Overtrædelse af ILO-konventioner
- Kontroversielle våben
- Flyselskaber
- Menneskerettigheder
- Manglende klimaambitioner
- Normviolationer relateret til menneskerettigheder
- Negativ påvirkning af væsentlige faktorer (Principal Adverse Impacts - PAI)
- Involvering i tobaksprodukter
- Levering af tjenester og forsyninger til bosættelser
- Levering af sikkerhedstjenester til virksomheder i bosættelser
- Usunde fødevarer"
16,Vejen,"- Alkohol
- Arbejdstagerrettigheder
- Biodiversitet
- Brud på menneskerettigheder (FN Global Compact Princip 1 og 2)
- Kontroversielle våben
- Dårlig regeringsførelse
- EU-sanktioner
- Udsatte lande under internationale sanktioner
- Dårlig ESG-performance
- Flyselskaber
- Fossil energi (fracking, olie sand, overgang, ekspansion)
- Gambling
- Israel-Palæstina konflikten
- Klima- og miljøforhold
- Krydstogtskibe
- Uholdbar landepolitik
- Menneskerettigheder
- Militær udstyr
- Miljø og sundhedsnormer
- Olie og gas (udvinding og produktion)
- Pengespil
- Risikovurdering af ESG-forhold
- Skat og EU's sortliste
- Tar sands
- Tjenester der understøtter bosættelser
- Brug af naturressourcer (vand og land)
- Thermal coal extraction
- Usunde fødevarer
- Utilfredsstillende regeringsførelse og forvaltningspraksis
- Årsag ikke nævnt"
17,Horsens,"- Arbejdstagerrettigheder og relaterede brud, herunder ILO-konventionen.
- Krænkelser af menneskerettigheder, herunder forhold relateret til FN Global Compact.
- Involvering i produktion og handel med kontroversielle våben, såsom hvid fosfor.
- Deltagelse i aktiviteter relateret til flyselskaber.
- Manglende klimaambitioner og usunde fødevarer.
- Engagement i tobaksprodukter og relaterede tjenester.
- Inddragelse i forsyning af sikkerhedstjenester til virksomheder i besatte områder.
- Ulemper ved brug af naturlige ressourcer til kommercielle formål."
18,Skanderborg,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Produktion af kontroversielle våben, herunder hvidt fosfor
- Involvering i flyselskab
- Krænkelse af menneskerettigheder
- Manglende klimatiltag
- Uetisk produktion af tobaksprodukter
- Levering af sikkerhedstjenester til virksomheder i omstridte områder
- Udvinding af termisk kul
- Distribution af usunde fødevarer"
19,Sorø,"- Arbejdstagerrettigheder
- Arbejdstagerrettigheder ifølge ILO-konventionen 87
- Biodiversitet
- Indvirkning på biodiversiteten
- Kontroversielle våben
- Fossile brændstoffer
- Udvidelse af fossile brændstoffer
- Spillespil
- Skadelige miljøpraksisser
- Brud på ILO-standarder
- Israel/Palæstina
- Krydstogtskibe
- Kul-eksponering over 5%
- Arbejdsrettigheder
- Normer
- Principal Adverse Impacts (PAI)
- Udrulning af termisk kul
- Usunde fødevarer"
20,Fanø,"- Alkohol
- Arbejdstagerrettigheder, herunder brud på ILO-konventionen 87
- Atomvåben og kontroversielle våben
- Finansielle operationer der støtter bosættelser
- Biodiversitet
- Brud på grundlæggende arbejdstagerrettigheder og menneskerettigheder, i strid med FN Global Compact 
- Dårlig regeringsførelse
- EU-sanktioner og rapportering om dem
- Ejendomsopkøb i sanktionerede lande
- Emerging Markets statsobligationer uden ESG-overholdelse
- Fossil energiproduktion og ekspansion, herunder kul og olie
- Gambling
- God ledelsespraksis
- Skadelige miljøpraksisser
- Israel/Palæstina-relaterede forhold
- Klimarelaterede forhold og manglende ambitioner
- Normovertrædelser relateret til menneskerettigheder og miljø
- Sikkerhedsforhold
- Skat og EU's sortliste for skattepraksis
- Usunde fødevarer
- Vurdering af landets forvaltning og ledelsespraksis
- Våbenhandel 
- Ingen relevante data."
21,Hvidovre,"- Arbejdstagerrettigheder
- Brud på arbejdstagerrettigheder ifølge ILO og FN Global Compact
- Biodiversitet og biodiversitetspåvirkninger
- Kontroversielle våben
- Flyselskaber
- Fossile brændstoffer og fossil ekspansion
- Gambling
- Skadelige miljøpraksisser
- Menneskerettigheder og krænkelse af disse
- ILO-brud
- Israel/Palæstina konflikten
- Krydstogtskibe
- Kul (kul-eksponering over 5%)
- Manglende klimaambitioner
- Normovertrædelser vedrørende menneskerettigheder
- Principal Adverse Impacts (PAI)
- Involvering i tobaksprodukter
- Levering af tjenester og forsyninger til bosættelser
- Levering af sikkerhedstjenester til virksomheder i bosættelser
- Brug af naturressourcer som vand og land til forretningsformål
- Uddragning af termisk kul
- Usunde fødevarer"
22,Bornholm,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder 
- Overtrædelser af ILO-konventioner 
- Kontroversielle våben 
- Flyselskaber 
- Menneskerettigheder 
- Normviolationer relateret til menneskerettigheder 
- Manglende klimaambitioner 
- Usunde fødevarer 
- Anvendelse af naturressourcer til erhvervsmæssige formål 
- Levering af sikkerhedstjenester til virksomheder i bosættelser 
- Ydelse af transport og forbindelser til bosættelser "
23,Region Nordjylland,"- Arbejdstagerrettigheder
- Brud på arbejdstagerrettigheder (f.eks. ILO-konventionen 87)
- Biodiversitet og dens indvirkninger
- Brud på menneskerettigheder (f.eks. FN Global Compact Princip 1 og 2)
- Kontroversielle våben
- Dårlig regeringsførelse
- EU-sanktioner
- Lande underlagt internationale sanktioner og vurderet som ikke-investeringsegnede
- Emerging Markets statsobligationer uden ESG-kriterier
- Flyselskaber
- Fossil brændstof (olie sand, kul, fossil ekspansion)
- Gambling
- Skadelige miljøpraksisser
- Israel/Palestina konflikten
- Landepolitik
- Normovertrædelser relateret til miljøforurening og sundheds- og sikkerhedsstandarder
- Principal Adverse Impacts (PAI)
- Sikkerhedsforhold
- Skat (herunder EU's sortliste)
- Usunde fødevarer
- Utilfredsstillende regeringsførelse og forvaltningspraksis"
24,Fredensborg,"- Arbejdstagerrettigheder
- ILO-brud
- Biodiversitet
- Kontroversielle våben
- Flyselskaber
- Fossile brændstoffer
- Fossile ekspansion
- Gambling
- Skadelige miljøpraksisser
- Israel/Palæstina
- Krydstogtskibe
- Kul (kul-eksponering > 5%)
- Usunde fødevarer
- Normer
- Principal Adverse Impacts (PAI)
- Tjenester og forsyninger, der understøtter bosættelser, herunder transport"
25,Albertslund,Der ikke er noget relevant data.
26,Nyborg,"- Brud på arbejdstagerrettigheder, herunder ILO-konventionen
- Krænkelse af menneskerettigheder
- Overtrædelser af FN Global Compact principper
- Investeringer i kontroversielle våben
- Engageret i flyselskabssektoren
- Manglende klimaambitioner fra virksomheder
- Involvering i tobaksprodukter
- Levering af tjenester og ressourcer til bosættelser
- Levering af sikkerhedstjenester til bosættelser
- Udnyttelse af naturressourcer, som vand og jord, til erhvervsmæssig brug
- Producent eller distributør af usunde fødevarer"
27,Gribskov,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Overtrædelse af ILO-konventioner
- Kontroversielle våben
- Flyselskaber
- Krænkelse af menneskerettigheder
- Manglende klimaambitioner
- Normovertrædelser relateret til menneskerettigheder
- Principielle negative virkninger (PAI)
- Involvering i tobaksprodukter
- Levering af tjenester, der understøtter bosættelser
- Levering af sikkerhedstjenester til bosættelser
- Anvendelse af naturressourcer til kommercielle formål
- Usunde fødevarer"
28,Guldborgsund,"- Arbejdstagerrettigheder
- Brud på arbejdstagerrettigheder ifølge FN Global Compact
- Biodiversitet og dets påvirkninger
- Kontroversielle våben
- Overtrædelse af EU-sanktioner
- Ejendomsopkøb i konfliktområder
- Emerging Markets statsobligationer uden ESG-kriterier
- Flyselskaber
- Fossile brændstoffer
- Gambling
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettigheder og deres krænkelser
- ILO-brud
- Overtrædelse af internationale normer og konventioner
- Konflikter relateret til Israel/Palestina
- Manglende klimaambitioner
- Usunde fødevarer
- Thermal kuludvinding
- Involvering i tobaksprodukter
- Levering af sikkerhedstjenester til virksomheder i bosættelser
- Udnyttelse af naturressourcer til erhvervsformål
- Transportmidler til vedligeholdelse af bosættelser"
29,Odder,Der er ikke noget relevant data.
30,Region Hovedstaden,"- Eksklusionsårsager ved investeringer i Region Hovedstaden inkluderer:
  - Biodiversitet
  - Kontroversielle våben
  - Sikkerhedsforhold
  - Israel/Palestina
  - Flyselskaber
  - Krydstogtskibe
  - Normer
  - Negative påvirkninger (Principal Adverse Impacts, PAI)
  - Tjenester og forsyninger til opretholdelse af bosættelser, herunder transport"
31,Jammerbugt,"- Brud på arbejdstagerrettigheder, herunder ILO-konventioner og FN Global Compact principper
- Krænkelse af menneskerettigheder
- Kontroversielle våben, herunder atomvåben og klyngevåben
- Investeringer i flyselskaber og krydstogtskibe
- Manglende klimaambitioner
- Involvering i tobaksprodukter og usunde fødevarer
- Levering af tjenester og forsyninger til bosættelser, herunder transport
- Forsyning af sikkerhedstjenester til virksomheder i bosættelser
- Anvendelse af naturlige ressourcer til erhvervsmæssige formål, særligt vand og land"
32,Ærø,Der er ikke noget relevant data.
33,Kolding,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Biodiversitet og dens påvirkninger
- Kontroversielle våben, herunder hvid fosfor
- EU-sanktioner
- Ejendomsopkøb
- Statsobligationer fra Emerging Markets, der ikke lever op til ESG-kriterier
- Flyselskaber
- Fossile brændstoffer og deres ekspansion
- Spilindustrien
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettighedsspørgsmål
- Internationale normer og konventioner
- Israel/Palæstina-konflikten
- Normbrud relateret til miljø
- Manglende klimaambitioner
- Anvendelse af naturressourcer, især vand og land, til forretningsformål
- Krydstogtskibe
- Kul-eksponering
- Usunde fødevarer"
34,Frederikshavn,Der er ikke noget relevant data.
35,Region Sjælland,"- Arbejdstagerrettigheder
- Biodiversitet
- Brud på grundlæggende arbejdstagerrettigheder
- Kontroversielle våben
- Fossil brændstof og ekspansion
- Gambling
- Skadelige miljøpraksisser
- Menneskerettigheder
- ILO-brud
- Israel/Palestina-konflikten
- Krydstogtskibe
- Kul (kul-eksponering > 5%)
- Manglende klimaambitioner
- Krænkelse af menneskerettigheder
- Tobacco Products Retail (produktinddragelse)
- Adverse impacts på menneskerettigheder og normer
- Levering af tjenester til settlements
- Levering af sikkerhedstjenester til virksomheder i settlements
- Brug af naturressourcer (vand og land)
- Udsigt til varme kul
- Usunde fødevarer"
36,Stevns,Der er ikke noget relevant data.
37,Greve,"- Arbejdstagerrettigheder og brud herpå, bl.a. ifølge ILO og FN Global Compact
- Biodiversitet og skadelige miljøpraksisser
- Kontroversielle våben, herunder hvid fosfor
- Overholdelse af EU-sanktioner
- Ejendomsoverdragelser og landepolitik
- Investeringer i statsobligationer fra emerging markets uden ESG-kriterier
- Deltagelse i eller støtte til flyselskaber
- Fossile brændstoffer og kuludvinding, herunder transition og eksponering
- God ledelsespraksis og normovertrædelser på arbejdsmarkedet
- Menneskerettigheder og generelle human rights issues
- Miljømæssige krav og relaterede normer
- Adverse impacts, herunder principal adverse impacts (PAI)
- Usunde fødevarer og deres indvirkning på sundhed"
38,Lolland,"- Arbejdstagerrettigheder
- ILO-konventionen 87
- Biodiversitet
- Kontroversielle våben
- Fossile brændstoffer
- Udvidelse af fossile ressourcer
- Spilaktiviteter
- Skadelige miljøpraksisser
- ILO-brud
- Israel/Palæstina
- Krydstogtskibe
- Kul (kul-eksponering over 5%)
- Normer
- Principal Adverse Impacts (PAI)
- Termisk kuludvinding
- Usunde fødevarer"
39,Næstved,"- Arbejdstagerrettigheder, herunder brud på ILO-konventioner
- Biodiversitet
- Brud på grundlæggende arbejdstagerrettigheder, stridende imod FN Global Compact principper
- Kontroversielle våben, herunder hvid fosfor
- Ejendomsopkøb relateret til internationale normer
- Involvering i produktion af hvidt fosfor
- Problematikker vedrørende Israel/Palestina
- Konflikter med UN Global Compact principker
- Kul og kul-eksponering, herunder termisk kul og fossil energi
- Usunde fødevarer
- Menneskerettighedskrænkelser
- Skadelige miljøpraksisser
- Manglende klimaambitioner
- Dårlig ledelsespraksis
- Normbrud og normovertrædelser"
40,Dragør,Der er ikke noget relevant data.
41,Syddjurs,"- Arbejdstagerrettigheder
- Biodiversitet
- Brud på grundlæggende arbejdstagerrettigheder (FN Global Compact princip 3 og 4)
- Kontroversielle våben (herunder hvidt fosfor)
- Ejendomsopkøb
- Flyselskaber
- Fossile brændstoffer
- Spil (gambling)
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettigheder
- ILO-brud
- Overtrædelser af internationale normer og konventioner
- Manglende klimaambitioner
- Usunde fødevarer
- Transporttjenester til vedligeholdelse af bosættelser
- Ekstraction af termisk kul"
42,Silkeborg,"- Arbejdstagerrettigheder
- Biodiversitet
- Kontroversielle våben
- EU-sanktioner
- Emerging Markets statsobligationer, der ikke lever op til ESG-kriterier
- Fossile brændstoffer
- Uacceptabel ekspansion af fossile brændstoffer
- Spil
- Skadelige miljøpraksisser
- ILO-brud
- Israel/Palæstina
- Krydstogtskibe
- Kul (kul-eksponering > 5%)
- Menneskerettigheder
- Normer
- Principal Adverse Impacts (PAI)
- Risikovurdering af ESG-forhold
- Termisk kuludvinding
- Usunde fødevarer"
43,Lyngby-Taarbæk,"- Arbejdstagerrettigheder
- Brud på grundlænde arbejdstagerrettigheder
- Kontroversielle våben
- Flyselskaber
- Menneskerettigheder
- ILO-brud
- Manglende klimaambitioner
- Normovertrædelser
- Principielle negative virkninger (PAI)
- Involvering i tobaksprodukter
- Tjenester og forsyninger til vedligeholdelse af beboelser, herunder transport
- Levering af sikkerhedstjenester til virksomheder i beboelser
- Anvendelse af naturressourcer, især vand og land, til forretningsformål
- Usunde fødevarer"
44,Aalborg,"- Arbejdstagerrettigheder
- Biodiversitet
- Brud på arbejdstagerrettigheder
- Kontroversielle våben (herunder hvidt fosfor)
- Ejendomsopkøb
- Fossil energi (inkl. kul-eksponering)
- Spil og gambling
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettighedsproblemer
- ILO-brud
- Internationale normer og konventioner
- Konflikter relateret til Israel/Palæstina
- Manglende klimaambitioner
- Usunde fødevarer
- Forsyning af tjenester og forsyninger til etablering af bosættelser"
45,Svendborg,"- Alkohol
- Arbejdstagerrettigheder
- Arbejdstagerrettigheder (inkl. ILO-konventionen 87)
- Biodiversitet og dens påvirkninger
- Brud på grundlæggende arbejdstagerrettigheder (strider imod FN Global Compact princip 3 og 4)
- Kontroversielle våben
- EU-sanktioner
- Ejendomsopkøb
- Emerging Markets statsobligationer (mangler ESG-overholdelse)
- Flyselskaber
- Fossile brændstoffer (fracking og transition)
- Gambling
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettigheder og relaterede emner
- ILO-brud
- Integreret olie- og gasproduktion
- Internationale normer og konventioner
- Klimaforhold og omstilling
- Konflikt med UN Global Compact princip nr. 10
- Krydstogtskibe
- Kul (kul-eksponering > 5%)
- Manglende klimaambitioner
- Miljøet
- Normbrud og normovertrædelser
- Olieudvinding og -produktion
- Principal Adverse Impacts (PAI)
- Tobaksprodukter (detailhandel)
- Tjenester til understøttelse af beboelser (transport mv.)
- Forsyning af sikkerhedstjenester til virksomheder i beboelser
- Termisk kuludvinding
- Usunde fødevarer
- Våben"
46,Rebild,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Overtrædelse af ILO-konventionen
- Brud på FN Global Compact princip 3 og 4
- Kontroversielle våben
- Flyselskaber
- Menneskerettigheder
- ILO-brud
- Krænkelse af menneskerettigheder
- Manglende klimaambitioner
- Normovertrædelser
- Principal Adverse Impacts (PAI)
- Involvering i tobaksprodukter
- Tjenester og forsyninger knyttet til opretholdelse af bosættelser
- Levering af sikkerhedstjenester og -udstyr til virksomheder i bosættelser
- Udnyttelse af naturressourcer, især vand og jord
- Usunde fødevarer"
47,Middelfart,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder (FN Global Compact princip 3 og 4)
- Biodiversitet og biodiversitetsimpakter
- Kontroversielle våben
- Ejendomsopkøb
- Flyselskaber
- Fossile brændstoffer
- Gambling
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettighedsspørgsmål
- ILO-brud
- Internationale normer og konventioner
- Konflikt med UN Global Compact princip nr. 10
- Krydstogtskibe
- Manglende klimaambitioner
- Usunde fødevarer
- Thermal coal extraction
- Principal Adverse Impacts (PAI)
- Normbrud og normviolationer"
48,Randers,"- Arbejdstagerrettigheder
- Brud på arbejdstagerrettigheder
- Biodiversitet
- Kontroversielle våben (herunder hvidt fosfor)
- Ejendomsopkøb og involvering i besættelsesområder
- Flyselskaber
- Fossile brændstoffer (inkl. kul-eksponering)
- Dårlig ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettighedsproblemer
- Brud på internationale normer og konventioner
- Manglende klimaambitioner
- Anvendelse af naturressourcer (vand og land) til forretningsformål
- Usunde fødevarer"
49,Langeland,Der er ikke noget relevant data.
50,Herlev,Der er ikke noget relevant data.
51,Vordingborg,Der er ikke noget relevant data.
52,København,"- Arbejdstagerrettigheder
- Kontroversielle våben 
- Produktion af hvidt fosfor
- Israel/Palestina konflikten
- Thermal coal extraction
- Usunde fødevarer
- Principal Adverse Impacts (PAI)
- Normer"
53,Gentofte,Der er ikke noget relevant data.
54,Køge,"- Arbejdstagerrettigheder
- Biodiversitet
- Kontroversielle våben
- Fossil brændstof
- Gambling
- Skadelige miljøpraksisser
- Israel/Palestina
- Krydstogtskibe
- Kulkraft (kul-eksponering > 5%)
- Usunde fødevarer
- Overtrædelser af ILO-konventionen
- Primære negative påvirkninger (PAI)
- Normer"
55,Solrød,"- Arbejdstagerrettigheder: Overtrædelser af grundlæggende rettigheder i arbejdet.
- Brud på ILO-konventioner, især konvention 87.
- Overtrædelser der strider imod FN Global Compact principper (3 og 4).
- Kontroversielle våben: Investeringer relateret til produktion og salg.
- Flyselskaber: Involvering med flyselskaber, der ikke opfylder etiske standarder.
- Krænkelse af menneskerettigheder: Uretfærdig behandling af individer.
- Normovertrædelser: Handlinger der ikke stemmer overens med internationale normer.
- Manglende klimaambitioner: Utilstrækkelige tiltag mod klimaforandringer.
- Usunde fødevarer: Engagement i produktion eller salg af usunde kostprodukter.
- Tjenester der understøtter bosættelser: Involvering i serviceleverancer til omstridte områder.
- Leverance af sikkerhedstjenester til virksomheder i bosættelser: Investeringer der bidrager til konfliktområder."
56,Esbjerg,"- Arbejdstagerrettigheder
- Biodiversitet
- Brud på grundlæggende arbejdstagerrettigheder
- Kontroversielle våben (herunder hvid fosfor)
- Ejendomsopkøb
- Indflydelse fra flyselskaber
- Fossil brændstof
- Gambling
- Skadelige miljøpraksisser
- Menneskerettigheder og tilknyttede problemstillinger
- ILO-brud
- Overtrædelse af internationale normer og konventioner
- Overholdelse af internationale sanktioner og forretningsetik
- Involvering i atomvåben
- Krænkelse af menneskerettigheder
- Manglende klimaambitioner
- Principal Adverse Impacts (PAI)
- Sikkerhedsforhold
- Levering af tjenester og forsyninger til bosættelser
- Levering af sikkerhedstjenester og udstyr til virksomheder i bosættelser
- Udtvungne fødevarer
- Normbrud og normovertrædelser"
57,Fredericia,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Biodiversitet
- Kontroversielle våben (herunder hvid fosfor)
- EU-sanktioner
- Ejendomsopkøb
- Statsobligationer fra emerging markets uden ESG-kriterier
- Flyselskaber
- Fossile brændstoffer og deres ekspansion
- Dårlig ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettighedsspørgsmål
- ILO-brud
- Overholdelse af internationale normer og konventioner
- Landepolitik
- Manglende klimaambitioner
- Miljømæssige normbrud
- Hovedsagelige negative virkninger (Principal Adverse Impacts)
- Tjenester og forsyninger, der understøtter opretholdelse af bosættelser
- Udnyttelse af naturressourcer, især vand og land
- Termisk kul og dets udvinding
- Usunde fødevarer"
58,Region Midtjylland,"- Arbejdstagerrettigheder
- Biodiversitet
- Kontroversielle våben
- Fossile brændstoffer og ekspansion
- Spil
- Skadelige miljøpraksisser
- Overtrædelser af ILO-konventionen
- Israel/Palestina konflikten
- Krydstogtskibe
- Kul (kul-eksponering > 5%)
- Usunde fødevarer
- Principal Adverse Impacts (PAI)"
59,Aarhus,"- Arbejdstagerrettigheder og brud på internationale normer
- Atomvåben og kontroversielle våben
- Miljømæssige og biodiversitetsrelaterede problemstillinger
- Menneskerettigheder og humanitære forhold
- Negative effekter på klima og fossile brændstoffer
- Ejendomsoverdragelse og involvering i problematiske sektorer som gambling og krydstogtskibe
- Usunde fødevarer og skadelig ledelsespraksis
- Overtrædelse af FN Global Compact principper
- Overholdelse af internationale sanktioner og etik i forretningspraksis
- Normbrud relateret til miljø og menneskerettigheder"
60,Region Syddanmark,Der er ikke noget relevant data.
61,Brøndby,"- Arbejdstagerrettigheder
- ILO-konventionen 87
- Biodiversitet
- Kontroversielle våben
- Fossile brændstoffer
- Fossil ekspansion
- Spil og gambling
- Skadelige miljøpraksisser
- ILO-brud
- Konflikten mellem Israel og Palæstina
- Krydstogtskibe
- Kul (kul-eksponering over 5%)
- Usunde fødevarer
- Normer
- Principal Adverse Impacts (PAI)
- Thermal coal extraction"
62,Vallensbæk,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder (herunder ILO-konventionen 87)
- Overtrædelse af FN Global Compact principper 3 og 4
- Kontroversielle våben
- Flyselskaber
- Menneskerettighedskrænkelser
- ILO-brud
- Manglende klimaambitioner
- Normviolationer vedrørende menneskerettigheder
- Principal Adverse Impacts (PAI)
- Involvering i tobaksprodukter
- Tilvejebringelse af serviceydelser til opretholdelse af bosættelser, herunder transport
- Levering af sikkerhedstjenester til virksomheder i bosættelser
- Anvendelse af naturressourcer som vand og land til erhvervsmæssige formål
- Udvinding af termisk kul
- Usunde fødevarer"
